CName,ContextKey,MemberCode,IsRowKey,DefaultValue
A01.05_038_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMBaseCurrencyDescription,FXEUROtherReferenceRateDescription,0,
A09.01_999_001_xkey,AIFMReportingInfo.CancellationAIFMRecordInfo,CancelledAIFMNationalCode,1,
A09.01_999_002,AIFMReportingInfo.CancellationAIFMRecordInfo,CancelledReportingPeriodType,0,
A09.01_999_003,AIFMReportingInfo.CancellationAIFMRecordInfo,CancelledReportingPeriodYear,0,
A09.01_999_004,AIFMReportingInfo.CancellationAIFMRecordInfo,CancelledRecordFlag,0,
A10.01.a_004_010,AIFReportingInfo.AIFRecordInfo,FilingType,0,
A10.01.a_005_010,AIFReportingInfo.AIFRecordInfo,AIFContentType,0,
A10.01.a_006_010,AIFReportingInfo.AIFRecordInfo,ReportingPeriodStartDate,0,
A10.01.a_007_010,AIFReportingInfo.AIFRecordInfo,ReportingPeriodEndDate,0,
A10.01.a_008_010,AIFReportingInfo.AIFRecordInfo,ReportingPeriodType,0,
A10.01.a_009_010,AIFReportingInfo.AIFRecordInfo,ReportingPeriodYear,0,
A10.01.a_010_010,AIFReportingInfo.AIFRecordInfo,AIFReportingObligationChangeFrequencyCode,0,
A10.01.a_011_010,AIFReportingInfo.AIFRecordInfo,AIFReportingObligationChangeContentsCode,0,
A10.01.a_012_010,AIFReportingInfo.AIFRecordInfo,AIFReportingObligationChangeQuarter,0,
A10.01.a_013_010,AIFReportingInfo.AIFRecordInfo,LastReportingFlag,0,
A10.01.a_016_010,AIFReportingInfo.AIFRecordInfo,AIFMNationalCode,0,
A10.01.a_017_010,AIFReportingInfo.AIFRecordInfo,AIFNationalCode,0,
A10.01.a_018_010,AIFReportingInfo.AIFRecordInfo,AIFName,0,
A10.01.a_019_010,AIFReportingInfo.AIFRecordInfo,AIFEEAFlag,0,
A10.01.a_020_010,AIFReportingInfo.AIFRecordInfo,AIFReportingCode,0,
A10.01.a_021_010,AIFReportingInfo.AIFRecordInfo,AIFDomicile,0,
A10.01.a_022_010,AIFReportingInfo.AIFRecordInfo,InceptionDate,0,
A10.01.a_023_010,AIFReportingInfo.AIFRecordInfo,AIFNoReportingFlag,0,
A10.01.b_999_014,AIFReportingInfo.AIFRecordInfo.Assumptions.Assumption,QuestionNumber,0,
A10.01.b_999_015,AIFReportingInfo.AIFRecordInfo.Assumptions.Assumption,AssumptionDescription,0,
A10.02_024_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification,AIFIdentifierLEI,0,
A10.02_025_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification,AIFIdentifierISIN,0,
A10.02_026_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification,AIFIdentifierCUSIP,0,
